Id,V1,V2,Hashtag
310,-22.82981127,-56.06969876,resist
311,17.79598853,18.39474584,OITNB
312,-36.31040227,-1.558965126,blackandwhite
313,-41.54605559,-53.41267489,architecture
314,-25.60594915,-17.73668344,texas
315,15.88156235,-1.8187835,RIPPrince
316,-73.02093534,15.97179668,icecream
317,13.94903063,-27.39477273,HeelsLockIn
318,9.875435521,3.033734982,GreysAnatomy
319,22.81536242,-53.78422653,FelizMiercoles
320,-25.03771039,26.84736491,instagram
321,-23.18821206,61.92292753,Instagram
322,-22.66708055,23.88969275,cool
323,17.32950253,2.04100997,VMAs
324,-24.01839458,62.40013938,Facebook
325,21.44049886,-51.76776583,FelizSabado
326,-47.34666928,35.37303291,thanksgiving
327,31.93050649,-2.580921169,ThrowbackThursday
328,22.66308849,-52.7709454,FelizDomingo
329,15.00304723,3.090039423,Empire
330,5.16574802,76.16959339,healthy
331,17.24788244,-31.95704909,marchmadness
332,-15.36665582,66.48464453,leadership
333,-9.49654926,81.2598192,I
334,-32.46721105,-47.12800899,???
335,-69.20579937,19.07435794,chocolate
336,-61.60852396,49.67912943,Seattle
337,-27.9852089,71.79431028,marketing
338,-29.94012345,71.39622802,socialmedia
339,-63.58307735,-50.21652263,SanFrancisco
340,84.52146503,25.47529464,RioOlympics2016
341,4.882880329,49.09840688,repost
342,-83.98135376,7.925180132,sushi
343,81.94952603,-18.72901308,GoPackGo
344,-19.49238923,-33.56101978,america
345,-30.8003357,-32.06762121,adventure
346,-0.802362123,58.06748701,MondayMotivation
347,-29.47653136,-11.10445312,golf
348,-24.57273865,-29.25868118,history
349,-48.22503682,37.46588157,familytime
350,-33.18621059,17.7162621,squad
351,2.792030322,-80.25392644,BernieSanders
352,3.323139015,17.7703203,Disney
353,-50.70202071,-23.53519481,sunshine
354,33.76337006,-2.221210009,DC
355,52.91219718,28.18749481,livemusic
356,35.74129729,48.73699963,model
357,-21.29863454,16.46382954,excited
358,-32.58767799,-47.15290936,????
359,-17.68357758,28.89647382,goodnight
360,21.38658144,45.71105239,justsaying
361,55.0993357,-11.35818021,HappyBirthday
362,-25.31809793,28.50347353,photooftheday
363,77.72299978,-17.53673761,HereWeGo
364,2.291079363,-78.31533968,SuperTuesday
365,56.40498762,2.398559495,Goals
366,47.04524053,19.30026304,legend
367,28.99218741,-26.26062178,StanleyCup
368,1.361483539,18.85326591,disney
369,-12.1360213,5.872523032,win
370,28.766915,5.235785427,FF
371,56.52268947,-67.76474848,OpeningDay
372,-61.00849531,-45.25975846,hollywood
373,2.950468975,9.995342569,MyTwitterAnniversary
374,36.2566788,46.92126998,makeup
375,49.33834484,3.454887264,Facts
376,-53.86273008,-8.154807864,green
377,36.74523231,-14.23101227,Saturday
378,6.779906603,8.555777129,oomf
379,45.13976179,-34.08838226,MVP
380,50.26354899,17.23205065,video
381,-43.9558202,34.89409842,kids
382,19.23300594,16.00217899,GrowingUpWithMyName
383,40.37714756,-43.28793006,IGotTheWarriors
384,22.27100971,-52.98572871,BuenViernes
385,-30.2500249,55.95817414,science
386,-21.60815412,22.59854867,loveit
387,48.96572295,-3.340796384,Music
388,-39.35584521,-37.23103245,holiday
389,-63.95423914,58.23489398,job
390,12.86572759,20.2229006,RogueOne
391,77.74971064,-18.05839728,CowboysNation
392,49.7931532,22.17797332,new
393,-38.97089014,22.25681423,bff
394,12.32722745,17.18753877,SuicideSquad
395,-52.02293491,-16.2099117,blue
396,-22.25181757,65.95126557,education
397,16.8705158,46.88020525,fml
